Tipo,Especie,Lugar,Departamento
Insecta,Podalia amarga,Colombia,Cundinamarca
Aves,Sicalis flaveola,Colombia,Cundinamarca
Insecta,Philophyllia guttulata,Colombia,Cundinamarca
Arachnida,Argiope argentata,Colombia,Boyacá
Magnoliopsida,Tropaeolum majus,Colombia,Cundinamarca
Magnoliopsida,Trifolium repens,Colombia,Cundinamarca
Magnoliopsida,Baccharis latifolia,Colombia,Cundinamarca
Insecta,Ancognatha scarabaeoides,Colombia,Cundinamarca
Squamata,Micrurus mipartitus,Colombia,Cundinamarca
Aves,Myiotheretes striaticollis,Colombia,Cundinamarca
Aves,Sporathraupis cyanocephala,Colombia,Cundinamarca
Magnoliopsida,Guettarda dependens,Colombia,Cundinamarca
Insecta,Cyclocephala amazona,Colombia,Cundinamarca
Insecta,Syngamia florella,Colombia,Cundinamarca
Insecta,Eulepidotis vincentiata,Colombia,Cundinamarca
Agaricomycetes,Marasmius haematocephalus,Colombia,Cundinamarca
Aves,Sicalis flaveola,Colombia,Cundinamarca
Aves,Sicalis flaveola,Colombia,Cundinamarca
Squamata,Anadia bogotensis,Colombia,Cundinamarca
Liliopsida,Fernandezia sanguinea,Colombia,Cundinamarca
Agaricomycetes,Coprinus comatus,Colombia,Cundinamarca
Insecta,Cyclocephala lunulata,Colombia,Boyacá
Aves,Nycticorax nycticorax,Colombia,Cundinamarca
Aves,Phalacrocorax brasilianus,Colombia,Cundinamarca
Squamata,Thecadactylus rapicauda,Colombia,Cundinamarca
Squamata,Atractus werneri,Colombia,Cundinamarca
Insecta,Stagmomantis parvidentata,Colombia,Cundinamarca
Insecta,Chlorida festiva,Colombia,Cundinamarca
Insecta,Psilopygida apollinairei,Colombia,Cundinamarca
Aves,Streptoprocne zonaris,Colombia,Cundinamarca
Aves,Euphonia laniirostris,Colombia,Cundinamarca
Insecta,Eulepidotis micca,Colombia,Cundinamarca
Insecta,Eulepidotis julianata,Colombia,Cundinamarca
Squamata,Chironius exoletus,Colombia,Cundinamarca
Arachnida,Alpaida variabilis,Colombia,Cundinamarca
Liliopsida,Telipogon falcatus,Colombia,Cundinamarca
Magnoliopsida,Langsdorffia hypogaea,Colombia,Cundinamarca
Magnoliopsida,Thunbergia alata,Colombia,Cundinamarca
Arachnida,Latrodectus geometricus,Colombia,Cundinamarca
No disponible,Calephelis laverna,Colombia,Cundinamarca
Insecta,Acromis sparsa,Colombia,Cundinamarca
Magnoliopsida,Emilia fosbergii,Colombia,Cundinamarca
Insecta,Danaus gilippus,Colombia,Cundinamarca
Aves,Dendrocygna autumnalis,Colombia,Cundinamarca
Aves,Chrysomus icterocephalus,Colombia,Cundinamarca
Aves,Chrysomus icterocephalus,Colombia,Cundinamarca
Aves,Oxyura ferruginea,Colombia,Cundinamarca
Aves,Gallinula chloropus,Colombia,Cundinamarca
Aves,Fulica americana,Colombia,Cundinamarca
Aves,Quiscalus lugubris,Colombia,Cundinamarca
Mammalia,Cavia aperea,Colombia,Cundinamarca
Aves,Tringa solitaria,Colombia,Cundinamarca
Aves,Mimus gilvus,Colombia,Cundinamarca
Aves,Piranga rubra,Colombia,Cundinamarca
Aves,Tyrannus melancholicus,Colombia,Cundinamarca
Aves,Setophaga petechia,Colombia,Cundinamarca
Squamata,Anadia bogotensis,Colombia,Cundinamarca
Insecta,Strymon mulucha,Colombia,Cundinamarca
Insecta,Siproeta stelenes,Colombia,Cundinamarca
Insecta,Ascalapha odorata,Colombia,Cundinamarca
Insecta,Syngamia florella,Colombia,Cundinamarca
Insecta,Glyphodes sibillalis,Colombia,Cundinamarca
Aves,Elanus leucurus,Colombia,Cundinamarca
Aves,Chrysomus icterocephalus,Colombia,Cundinamarca
Aves,Spatula discors,Colombia,Cundinamarca
Aves,Spatula discors,Colombia,Cundinamarca
Magnoliopsida,Bocconia frutescens,Colombia,Cundinamarca
Magnoliopsida,Passiflora tarminiana,Colombia,Cundinamarca
Magnoliopsida,Streptosolen jamesonii,Colombia,Cundinamarca
Liliopsida,Cyrtochilum auropurpureum,Colombia,Cundinamarca
Insecta,Altopedaliodes nebris,Colombia,Cundinamarca
Insecta,Idioneurula erebioides,Colombia,Cundinamarca
Insecta,Especie no disponible,Colombia,Cundinamarca
Magnoliopsida,Syzygium paniculatum,Colombia,Cundinamarca
Aves,Mimus gilvus,Colombia,Cundinamarca
Magnoliopsida,Passiflora manicata,Colombia,Boyacá
Magnoliopsida,Persicaria nepalensis,Colombia,Cundinamarca
Lycopodiopsida,Lycopodium clavatum,Colombia,Cundinamarca
Liliopsida,Pleurothallis cordata,Colombia,Cundinamarca
Polypodiopsida,Histiopteris incisa,Colombia,Cundinamarca
Insecta,Corydalus peruvianus,Colombia,Cundinamarca
Aves,Turdus fuscater,Colombia,Cundinamarca
Magnoliopsida,Passiflora vitifolia,Colombia,Cundinamarca
Magnoliopsida,Tecoma stans,Colombia,Cundinamarca
Aves,Elanus leucurus,Colombia,Boyacá
Aves,Quiscalus lugubris,Colombia,Boyacá
Aves,Mimus gilvus,Colombia,Boyacá
Magnoliopsida,Ficus elastica,Colombia,Cundinamarca
Aves,Porphyrio martinica,Colombia,Cundinamarca
Agaricomycetes,Coprinellus disseminatus,Colombia,Cundinamarca
Magnoliopsida,Tecomaria capensis,Colombia,Cundinamarca
Mammalia,Canis lupus,Colombia,Cundinamarca
Insecta,Pachycoris torridus,Colombia,Cundinamarca
Aves,Butorides striata,Colombia,Cundinamarca
Aves,Chrysomus icterocephalus,Colombia,Cundinamarca
Aves,Rupornis magnirostris,Colombia,Cundinamarca
Aves,Gallinula chloropus,Colombia,Cundinamarca
Insecta,Toxotoma flavofasciata,Colombia,Cundinamarca
Aves,Mimus gilvus,Colombia,Cundinamarca
Insecta,Athesis clearista,Colombia,Cundinamarca
Magnoliopsida,Lycianthes lycioides,Colombia,Cundinamarca
Magnoliopsida,Opuntia soederstromiana,Colombia,Cundinamarca
Aves,Phimosus infuscatus,Colombia,Cundinamarca
Aves,Zenaida auriculata,Colombia,Cundinamarca
Aves,Zonotrichia capensis,Colombia,Cundinamarca
Mammalia,Cavia aperea,Colombia,Cundinamarca
Insecta,Dione vanillae,Colombia,Cundinamarca
Magnoliopsida,Salix humboldtiana,Colombia,Cundinamarca
Squamata,Atractus crassicaudatus,Colombia,Cundinamarca
Liliopsida,Tillandsia usneoides,Colombia,Cundinamarca
Magnoliopsida,Peperomia tetraphylla,Colombia,Boyacá
Magnoliopsida,Potentilla indica,Colombia,Cundinamarca
Magnoliopsida,Begonia foliosa,Colombia,Cundinamarca
Magnoliopsida,Nectandra cuspidata,Colombia,Boyacá
Insecta,Heliconius charithonia,Colombia,Boyacá
Liliopsida,Racinaea tenuispica,Colombia,Boyacá
Magnoliopsida,Calea bucaramangensis,Colombia,Boyacá
Liliopsida,Vriesea myriantha,Colombia,Boyacá
Liliopsida,Tillandsia fendleri,Colombia,Boyacá
Insecta,Dione glycera,Colombia,Cundinamarca
Aves,Ardea alba,Colombia,Cundinamarca
Aves,Ardea alba,Colombia,Cundinamarca
Aves,Ardea alba,Colombia,Cundinamarca
Insecta,Historis odius,Colombia,Cundinamarca
Liliopsida,Bomarea multiflora,Colombia,Cundinamarca
Insecta,Limenitis iphiclus,Colombia,Cundinamarca
Insecta,Hermeuptychia hermes,Colombia,Cundinamarca
Liliopsida,Cipuropsis capituligera,Colombia,Cundinamarca
Liliopsida,Heliconia hirsuta,Colombia,Cundinamarca
Aves,Colibri cyanotus,Colombia,Cundinamarca
Aves,Colibri coruscans,Colombia,Cundinamarca
Aves,Troglodytes aedon,Colombia,Cundinamarca
Liliopsida,Cyrtochilum revolutum,Colombia,Boyacá
Aves,Pyrocephalus rubinus,Colombia,Cundinamarca
Arachnida,Gasteracantha cancriformis,Colombia,Boyacá
Aves,Cyanocorax yncas,Colombia,Boyacá
Magnoliopsida,Passiflora dawei,Colombia,Cundinamarca
Insecta,Thecla syllis,Colombia,Cundinamarca
Insecta,Heliconius erato,Colombia,Cundinamarca
Insecta,Biblis hyperia,Colombia,Cundinamarca
Insecta,Especie no disponible,Colombia,Cundinamarca
Magnoliopsida,Acacia melanoxylon,Colombia,Boyacá
Aves,Tyrannus savana,Colombia,Boyacá
Magnoliopsida,Kohleria tigridia,Colombia,Boyacá
Magnoliopsida,Cavendishia bracteata,Colombia,Boyacá
Magnoliopsida,Meriania speciosa,Colombia,Boyacá
Insecta,Paracles contraria,Colombia,Boyacá
Aves,Chaetocercus mulsant,Colombia,Cundinamarca
Insecta,Borogonalia impressifrons,Colombia,Cundinamarca
Insecta,Compsus canescens,Colombia,Cundinamarca
Insecta,Urocerus gigas,Colombia,Cundinamarca
Magnoliopsida,Gentiana sedifolia,Colombia,Cundinamarca
Magnoliopsida,Aragoa abietina,Colombia,Cundinamarca
Insecta,Anartia amathea,Colombia,Boyacá
Aves,Grallaria alticola,Colombia,Cundinamarca
Arachnida,Steatoda nobilis,Colombia,Cundinamarca
Magnoliopsida,Capsicum pubescens,Colombia,Cundinamarca
Insecta,Dione glycera,Colombia,Cundinamarca
Insecta,Compsibidion mysticum,Colombia,Cundinamarca
Liliopsida,Comparettia falcata,Colombia,Cundinamarca
Insecta,Utetheisa ornatrix,Colombia,Cundinamarca
Insecta,Greta andromica,Colombia,Cundinamarca
Insecta,Hermeuptychia hermes,Colombia,Cundinamarca
Insecta,Microctenochira sertata,Colombia,Cundinamarca
Insecta,Especie no disponible,Colombia,Cundinamarca
Insecta,Danaus gilippus,Colombia,Cundinamarca
Insecta,Dynamine tithia,Colombia,Cundinamarca
Insecta,Dynamine mylitta,Colombia,Cundinamarca
Insecta,Hamadryas februa,Colombia,Cundinamarca
Insecta,Emesis fatima,Colombia,Cundinamarca
Insecta,Hemiargus hanno,Colombia,Cundinamarca
Insecta,Dryas iulia,Colombia,Cundinamarca
Insecta,Antiblemma nitidaria,Colombia,Cundinamarca
Insecta,Pycnopalpa bicordata,Colombia,Cundinamarca
Aves,Forpus conspicillatus,Colombia,Cundinamarca
Amphibia,Dendropsophus molitor,Colombia,Cundinamarca
Magnoliopsida,Palicourea angustifolia,Colombia,Boyacá
Insecta,Eryphanis lycomedon,Colombia,Boyacá
Aves,Machetornis rixosa,Colombia,Cundinamarca
Arachnida,Josa keyserlingi,Colombia,Cundinamarca
Aves,Thraupis palmarum,Colombia,Boyacá
Arachnida,Tegenaria domestica,Colombia,Cundinamarca
Aves,Phimosus infuscatus,Colombia,Cundinamarca
Insecta,Anartia amathea,Colombia,Boyacá
Insecta,Leuciris fimbriaria,Colombia,Boyacá
No disponible,Caria mantinea,Colombia,Cundinamarca
Insecta,Historis odius,Colombia,Cundinamarca
Insecta,Marpesia berania,Colombia,Cundinamarca
Insecta,Mimoides euryleon,Colombia,Cundinamarca
Insecta,Heraclides pallas,Colombia,Cundinamarca
Insecta,Dryas iulia,Colombia,Cundinamarca
Insecta,Dryas iulia,Colombia,Cundinamarca
Insecta,Papilio thoas,Colombia,Cundinamarca
Insecta,Phobetron hipparchia,Colombia,Cundinamarca
Insecta,Siproeta stelenes,Colombia,Cundinamarca
Insecta,Euptychoides saturnus,Colombia,Cundinamarca
Magnoliopsida,Passiflora cuspidifolia,Colombia,Cundinamarca
Arachnida,Centruroides edwardsii,Colombia,Cundinamarca
Magnoliopsida,Ageratina asclepiadea,Colombia,Cundinamarca
Aves,Cyanocorax violaceus,Colombia,Cundinamarca
